f_timestamp,f_id,cluster_data,f_u_id
2023-03-24T21:00:06.108Z,335078,"[[2.5077827, 11.268496, 'cam_142'], [1.5739316, 10.638044, 'cam_142']]",0
2023-03-24T21:00:06.108Z,497393,"[[5.83503, 10.35634, 'cam_142']]",0
2023-03-24T21:00:06.193Z,447630,"[[8.830462, 3.7205513, 'cam_133']]",0
2023-03-24T21:00:06.193Z,523771,"[[2.308586, 2.7033632, 'cam_133']]",0
2023-03-24T21:00:06.193Z,314625,"[[5.949548, 5.857089, 'cam_133']]",0
2023-03-24T21:00:06.233Z,387010,"[[16.448694, 7.2417254, 'cam_141']]",0
2023-03-24T21:00:06.304Z,777005,"[[8.840867, 3.7289803, 'cam_133']]",0
2023-03-24T21:00:06.304Z,698467,"[[2.3436275, 2.681332, 'cam_133']]",0
2023-03-24T21:00:06.304Z,935441,"[[5.918557, 5.768519, 'cam_133']]",0
2023-03-24T21:00:06.364Z,400896,"[[2.0903542, 20.521679, 'cam_140']]",0
2023-03-24T21:00:06.364Z,495001,"[[4.905233, 12.837603, 'cam_140']]",0
2023-03-24T21:00:06.400Z,3862,"[[6.115857, 10.378415, 'cam_142']]",0
2023-03-24T21:00:06.400Z,944045,"[[2.5079632, 11.273026, 'cam_142'], [1.6964345, 10.56442, 'cam_142']]",0
2023-03-24T21:00:06.480Z,222751,"[[6.1221337, 10.382349, 'cam_142']]",0
2023-03-24T21:00:06.480Z,341004,"[[2.510893, 11.26951, 'cam_142'], [1.717922, 10.562257, 'cam_142']]",0
2023-03-24T21:00:06.537Z,524466,"[[1.7522987, 10.541641, 'cam_142'], [2.514811, 11.267221, 'cam_142']]",0
2023-03-24T21:00:06.537Z,921626,"[[6.162009, 10.356548, 'cam_142']]",0
2023-03-24T21:00:06.571Z,506148,"[[5.9424067, 5.549937, 'cam_133']]",0
2023-03-24T21:00:06.571Z,759932,"[[8.86996, -5.5679793, 'cam_133']]",0
2023-03-24T21:00:06.571Z,486572,"[[2.2976305, 3.18507, 'cam_133']]",4
2023-03-24T21:00:06.571Z,539818,"[[8.810895, 3.7498415, 'cam_133']]",0
2023-03-24T21:00:06.612Z,311704,"[[16.599686, 7.1283364, 'cam_141']]",0
2023-03-24T21:00:06.692Z,686332,"[[5.9262013, 5.540028, 'cam_133']]",0
2023-03-24T21:00:06.692Z,837598,"[[8.89588, -5.6766796, 'cam_133']]",0
2023-03-24T21:00:06.692Z,159038,"[[8.824209, 3.7379663, 'cam_133']]",0
2023-03-24T21:00:06.692Z,381891,"[[2.339257, 3.044736, 'cam_133']]",0
2023-03-24T21:00:06.772Z,474012,"[[2.1553495, 20.364244, 'cam_140']]",0
2023-03-24T21:00:06.836Z,207543,"[[2.532221, 11.279844, 'cam_142']]",0
2023-03-24T21:00:06.836Z,46388,"[[6.372109, 10.288139, 'cam_142']]",0
2023-03-24T21:00:06.905Z,325002,"[[16.674421, 7.2431126, 'cam_141']]",0
2023-03-24T21:00:06.937Z,775220,"[[5.9394813, 5.2485757, 'cam_133']]",0
2023-03-24T21:00:06.937Z,415088,"[[9.118012, -7.018444, 'cam_133']]",0
2023-03-24T21:00:06.937Z,684845,"[[8.685082, 3.935136, 'cam_133']]",0
2023-03-24T21:00:06.937Z,672885,"[[2.3047645, 3.840684, 'cam_133']]",0
2023-03-24T21:00:07.057Z,175004,"[[5.9191537, 5.1323953, 'cam_133']]",6
2023-03-24T21:00:07.057Z,572304,"[[2.3704674, 4.168108, 'cam_133']]",0
2023-03-24T21:00:07.057Z,135355,"[[8.868739, -6.5121713, 'cam_133']]",0
2023-03-24T21:00:07.057Z,850151,"[[8.79678, 3.7457607, 'cam_133']]",0
2023-03-24T21:00:07.153Z,281337,"[[6.539518, 10.277861, 'cam_142']]",0
2023-03-24T21:00:07.153Z,689524,"[[2.5343344, 11.272079, 'cam_142']]",0
2023-03-24T21:00:07.224Z,13514,"[[10.509342, 26.7024, 'cam_149']]",0
2023-03-24T21:00:07.224Z,245439,"[[2.957939, 13.858613, 'cam_149']]",0
2023-03-24T21:00:07.224Z,459033,"[[5.7455373, 7.494142, 'cam_149']]",0
2023-03-24T21:00:07.224Z,354383,"[[2.370307, 19.1528, 'cam_149']]",0
2023-03-24T21:00:07.328Z,894537,"[[8.791853, 3.753069, 'cam_133']]",3
2023-03-24T21:00:07.328Z,874836,"[[2.482675, 4.7210755, 'cam_133']]",0
2023-03-24T21:00:07.328Z,317524,"[[8.999984, -6.9049573, 'cam_133']]",0
2023-03-24T21:00:07.328Z,835287,"[[5.9047227, 5.093231, 'cam_133']]",0
2023-03-24T21:00:07.440Z,792920,"[[5.904999, 5.056642, 'cam_133']]",0
2023-03-24T21:00:07.440Z,51285,"[[9.035353, -7.0119305, 'cam_133']]",0
2023-03-24T21:00:07.440Z,39965,"[[2.5101163, 4.7370753, 'cam_133']]",0
2023-03-24T21:00:07.440Z,20873,"[[8.804924, 3.7438173, 'cam_133']]",0
2023-03-24T21:00:07.534Z,147562,"[[2.158311, 20.396719, 'cam_140'], [1.174642, 20.628126, 'cam_140']]",0
2023-03-24T21:00:07.614Z,25327,"[[2.3886867, 19.168873, 'cam_149']]",0
2023-03-24T21:00:07.614Z,881616,"[[3.0508432, 14.0272, 'cam_149']]",0
2023-03-24T21:00:07.614Z,405362,"[[5.2058253, 7.5683823, 'cam_149']]",0
2023-03-24T21:00:07.680Z,85037,"[[2.559201, 13.411263, 'cam_151'], [3.435078, 13.260675, 'cam_151']]",0
2023-03-24T21:00:07.760Z,580661,"[[1.1844971, 20.685686, 'cam_140'], [2.1612818, 20.393896, 'cam_140']]",0
2023-03-24T21:00:07.843Z,393824,"[[2.5535192, 13.40771, 'cam_151'], [3.4362884, 13.259253, 'cam_151']]",0
2023-03-24T21:00:07.936Z,775199,"[[2.2052023, 20.232357, 'cam_140'], [1.2398305, 20.45869, 'cam_140']]",0
2023-03-24T21:00:08.020Z,433258,"[[3.3797302, 13.281717, 'cam_151'], [2.5359993, 13.400156, 'cam_151']]",0
2023-03-24T21:00:08.099Z,556682,"[[2.5356236, 13.391516, 'cam_151'], [3.382026, 13.279975, 'cam_151']]",0
2023-03-24T21:00:08.184Z,465321,"[[2.5443714, 13.386543, 'cam_151'], [3.3796537, 13.280699, 'cam_151']]",0
2023-03-24T21:00:08.276Z,122749,"[[3.4096582, 13.273069, 'cam_151'], [2.5269291, 13.386896, 'cam_151']]",0
2023-03-24T21:00:08.340Z,52034,"[[1.2855116, 20.284407, 'cam_140'], [2.1673808, 20.365358, 'cam_140']]",0
2023-03-24T21:00:08.454Z,802375,"[[-84.39799, 119.33397, 'cam_145']]",0
2023-03-24T21:00:08.454Z,569353,"[[8.129694, 7.722419, 'cam_145']]",0
2023-03-24T21:00:08.528Z,816348,"[[2.5224276, 13.385931, 'cam_151'], [3.4045076, 13.27409, 'cam_151']]",0
2023-03-24T21:00:08.608Z,629704,"[[8.153567, 7.652011, 'cam_145']]",0
2023-03-24T21:00:08.608Z,367119,"[[-56.634014, 85.20657, 'cam_145']]",0
2023-03-24T21:00:08.680Z,13970,"[[-62.49825, 92.51916, 'cam_145']]",0
2023-03-24T21:00:08.680Z,270100,"[[8.114126, 7.6603804, 'cam_145']]",0
2023-03-24T21:00:08.743Z,261070,"[[8.095982, 7.6631713, 'cam_145']]",0
2023-03-24T21:00:08.743Z,213586,"[[-63.06683, 93.19204, 'cam_145']]",0
2023-03-24T21:00:08.855Z,184034,"[[7.4791665, 10.233933, 'cam_142']]",0
2023-03-24T21:00:08.855Z,871436,"[[2.552642, 11.253204, 'cam_142']]",0
2023-03-24T21:00:08.916Z,990549,"[[2.3814528, 19.15368, 'cam_149']]",0
2023-03-24T21:00:08.916Z,48744,"[[3.478812, 14.082379, 'cam_149']]",0
2023-03-24T21:00:08.916Z,566579,"[[3.4578462, 6.781509, 'cam_149']]",0
2023-03-24T21:00:09.000Z,19980,"[[-65.22081, 96.06511, 'cam_145']]",0
2023-03-24T21:00:09.000Z,158529,"[[8.061588, 7.627641, 'cam_145']]",0
2023-03-24T21:00:09.081Z,479016,"[[-66.920296, 98.25258, 'cam_145']]",0
2023-03-24T21:00:09.081Z,701577,"[[8.049871, 7.6006007, 'cam_145']]",0
2023-03-24T21:00:09.150Z,976128,"[[7.987043, 7.568655, 'cam_145']]",0
2023-03-24T21:00:09.150Z,656162,"[[-100.50281, 139.48595, 'cam_145']]",0
2023-03-24T21:00:09.179Z,177524,"[[7.5647607, 10.199766, 'cam_142']]",0
2023-03-24T21:00:09.179Z,537235,"[[2.513052, 11.26006, 'cam_142']]",0
2023-03-24T21:00:09.268Z,571237,"[[-94.72412, 132.58324, 'cam_145']]",0
2023-03-24T21:00:09.268Z,276123,"[[7.8595514, 7.6023846, 'cam_145']]",0
2023-03-24T21:00:09.343Z,668871,"[[3.420667, 13.273289, 'cam_151'], [2.5595, 13.336488, 'cam_151']]",0
2023-03-24T21:00:09.436Z,553994,"[[2.319075, 18.843363, 'cam_149']]",0
2023-03-24T21:00:09.436Z,954726,"[[3.403764, 14.202405, 'cam_149']]",0
2023-03-24T21:00:09.436Z,220802,"[[2.826022, 6.2432265, 'cam_149']]",0
